,Restaurant Name,Ratings,No of Reviews,Review URL,Image URL
24,Blue Diamond Breakfast Club,4,"1,024",http://www.tripadvisor.com/Restaurant_Review-g293917-d1218462-Reviews-Blue_Diamond_Breakfast_Club-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0e/a5/12/62/my-absolute-favorite.jpg
25,The salad concept,4,692,http://www.tripadvisor.com/Restaurant_Review-g293917-d1977921-Reviews-The_salad_concept-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/02/5e/df/32/salad-with-beetroots.jpg
26,SP Chicken,4,440,http://www.tripadvisor.com/Restaurant_Review-g293917-d3162260-Reviews-SP_Chicken-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/daodao/photo-i/0e/15/d3/6b/2016-12-09-11-37-52-largejpg.jpg
27,Chiang Mai Breakfast World,4.5,398,http://www.tripadvisor.com/Restaurant_Review-g293917-d1862629-Reviews-Chiang_Mai_Breakfast_World-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0f/a1/e7/36/hot-pan-steak.jpg
28,The Duke's,4,"1,286",http://www.tripadvisor.com/Restaurant_Review-g293917-d780687-Reviews-The_Duke_s-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/10/9f/71/44/the-duke-s-chiang-mai.jpg
29,The Old City Inn,4.5,321,http://www.tripadvisor.com/Restaurant_Review-g293917-d6407283-Reviews-The_Old_City_Inn-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0d/ae/e4/21/photo0jpg.jpg
30,Maya Burger Queen at Chiangmai,4.5,151,http://www.tripadvisor.com/Restaurant_Review-g293917-d10051177-Reviews-Maya_Burger_Queen_at_Chiangmai-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-s/0a/fa/fb/b7/maya-burger-queen-at.jpg
31,La Fringale,5,75,http://www.tripadvisor.com/Restaurant_Review-g293917-d12963552-Reviews-La_Fringale-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/11/2d/f1/e5/la-fringale-french-restaurant.jpg
32,Morning Glory Thai Vegetarian Restaurant & Cooking Classes,4.5,274,http://www.tripadvisor.com/Restaurant_Review-g293917-d4104400-Reviews-Morning_Glory_Thai_Vegetarian_Restaurant_Cooking_Classes-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0f/4e/82/34/20170518-124422-largejpg.jpg
33,JJ's Trattoria Restaurant-Pizzeria,4.5,250,http://www.tripadvisor.com/Restaurant_Review-g293917-d6692500-Reviews-JJ_s_Trattoria_Restaurant_Pizzeria-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-s/07/f4/1c/e6/jj-s-trattoria-restaurant.jpg
34,Graph Cafe,4.5,93,http://www.tripadvisor.com/Restaurant_Review-g293917-d6863962-Reviews-Graph_Cafe-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-s/06/60/ec/4a/great-coffee-very-melbourne.jpg
35,Fahtara Coffee,4.5,182,http://www.tripadvisor.com/Restaurant_Review-g293917-d7704158-Reviews-Fahtara_Coffee-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/07/ee/02/46/fahtara-coffee.jpg
36,Aroy Dee,4.5,201,http://www.tripadvisor.com/Restaurant_Review-g293917-d7692912-Reviews-Aroy_Dee-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/0c/72/e5/6e/caption.jpg
37,Pulcinella da Stefano,4,351,http://www.tripadvisor.com/Restaurant_Review-g293917-d965967-Reviews-Pulcinella_da_Stefano-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0e/db/db/0a/pulcinella-da-stefano.jpg
38,Flight 52,5,121,http://www.tripadvisor.com/Restaurant_Review-g293917-d10432038-Reviews-Flight_52-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/10/c6/48/ff/tapas-pizza-and-cocktsils.jpg
39,Reform Kafe,5,70,http://www.tripadvisor.com/Restaurant_Review-g293917-d10239150-Reviews-Reform_Kafe-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-i/0d/c9/e8/61/reform-kafe-fresh-salad.jpg
40,Rustic & Blue,4.5,340,http://www.tripadvisor.com/Restaurant_Review-g293917-d6637873-Reviews-Rustic_Blue-Chiang_Mai.html,https://media-cdn.tripadvisor.com/media/photo-f/0a/57/d0/78/awesome-french-toast.jpg
